NRF,Navn
2258412,"d110 Tilbakeslagskum base modular, 1x inn/utløp"
2258413,"d125 Tilbakeslagskum base modular, 1x inn/utløp"
2258414,"d160 Tilbakeslagskum base modular, 1x inn/utløp"
2258415,"d110 Tilbakeslagskum base modular, 3x inn/ 1x utløp"
2258416,"d125 Tilbakeslagskum base modular, 3x inn/ 1x utløp"
2258417,"d160 Tilbakeslagskum base modular, 3x inn/ 1x utløp"
2258418,Ø110-200 SWA kit 2x klaffer fritthengende
2258419,"Ø110-200 FKA kit 2 klaffer,motor,sensor,kontr.panel"
2258421,"Ø110-200 Pumpfix F kit 2 klaffer&sensor,pumpe,motor,kontr"
3417926,ACO Civicline CL 100 10.0 1 METER
3417927,"ACO Civicline CL 100 10.1 0,5 METER MED KNOCKOUT"
3417928,"Xtradrain Sandfang 0,5 METER"
3411087,Rektangulær avløpsrist i rustfritt stål for Frame. Mål: 129x129 mm Antall silhull: 12
2167669,110MM ACO PIPE 110MM DRENERINGSPLUGG AISI304 / EN1.4301 EDPM
2167671,125MM ACO PIPE 125MM DRENERINGSPLUGG AISI304 / EN1.4301 EDPM
2167672,160MM ACO PIPE 160MM DRENERINGSPLUGG AISI304 / EN1.4301 EDPM
2167673,50MM ACO PIPE 50MM LÅSEBØJLE AISI304 / EN1.4301 EDPM
2167674,75MM ACO PIPE 75MM LÅSEBØJLE AISI304 / EN1.4301 EDPM
2167675,110MM ACO PIPE 110MM LÅSEBØJLE AISI304 / EN1.4301 EDPM
2167676,50-110MM ACO PIPE ELEKTRISK RØRKUTTER
2167677,160-250MM ACO PIPE RØRKUTTER
2167678,160MM ACO PIPE RØRHOLDER
2167679,200MM ACO PIPE RØRHOLDER
2167681,75MM ACO PIPE 50MM HJØRNEGRENRØR DOBBELT 45° AISI304 / EN1.4301 EPDM
2167682,40MM ACO PIPE 40MM RØRKLAMMER MED GUMMI AISI316 / EN1.4404 EPDM
2167683,125MM ACO PIPE 125MM RØRKLAMMER MED GUMMI GALV
2167684,250MM ACO PIPE 250MM RØRKLAMMER MED GUMMI AISI316 / EN1.4404 EPDM
2167685,315MM ACO PIPE 315MM RØRKLAMMER MED GUMMI AISI316 / EN1.4404 EPDM
2167686,40MM ACO PIPE 40MM PAKNING NBR
2167687,125MM ACO PIPE 125MM PAKNING NBR
2167688,DN150/160MM ACO PIPE 150x160MM GUMMIOVRG RF TIL BTG RØR EPDM
2167689,DN70/75MM ACO PIPE 70x75MM GUMMIOVRG RF TIL BTG RØR EPDM
2167691,40MM ACO PIPE 40MM LÅSEBØJLE DOBBEL AISI304 / EN1.4301
2167692,125MM ACO PIPE 125MM LÅSEBØJLE DOBBEL AISI304 / EN1.4301
2167693,160MM ACO PIPE 160MM LÅSEBØJLE DOBBEL AISI304 / EN1.4301
2167694,315MM ACO PIPE 315MM LÅSEBØJLE DOBBEL AISI304 / EN1.4301
2167695,40MM ACO PIPE 50MM RØRKLAMMER MED GUMMI/EKSP.SBOLT AISI316 / EN1.4404
2167696,40MM ACO PIPE GJENNOMFØRING R1B AISI316 / EN1.4404
2167697,50MM ACO PIPE GJENNOMFØRING R1B AISI316 / EN1.4404
2167698,75MM ACO PIPE GJENNOMFØRING R1B AISI316 / EN1.4404
2167699,110MM ACO PIPE GJENNOMFØRING R1B AISI316 / EN1.4404
2213482,"50mm x 40mm Master3Plus eks. overgang PP, svart"
2213483,"75mm 87,5° Master3Plus bend, langt PP, svart"
2213484,"110mm 87,5° Master3Plus bend, langt PP, svart"
2213485,"75mm 87,5° Master3Plus bend, langt, allmuffe PP, svart"
2213486,"110mm 87,5° Master3Plus bend, langt, allmuffe PP, svart"
2251611,800/6000 DV Rør ID SN8
2251612,600/6000 DV Rør ID SN8
2251613,500/6000 DV Rør ID SN8
2251614,400/6000 DV Rør ID SN8
